,year,month,counts
0,2015,1,1
1,2015,9,1
2,2015,12,1
3,2016,2,2
4,2016,7,1
5,2018,4,10
6,2018,5,5
7,2020,5,158
8,2020,6,137
9,2020,7,106
10,2020,8,133
11,2020,9,172
12,2020,10,143
13,2020,11,117
14,2020,12,139
15,2021,1,164
16,2021,2,145
17,2021,3,173
18,2021,4,121
19,2021,5,115
20,2021,6,132
21,2021,7,179
22,2021,8,207
23,2021,9,185
24,2021,10,197
25,2021,11,191
26,2021,12,192
27,2022,1,211
28,2022,2,198
29,2022,3,196
30,2022,4,200
31,2022,5,224
32,2022,6,269
33,2022,7,281
34,2022,8,344
35,2022,9,318
36,2022,10,366
37,2022,11,331
38,2022,12,301
39,2023,1,392
40,2023,2,352
